t,dt,force_n,tilt_rad,x,y,speed_m_s,effort_nm
0.004,0.004,0.0,0.0,1.0675118474939779e-20,-8.18005103261685e-21,6.724674506199822e-18,0.0
0.008,0.004,0.0,0.0,6.405071084963868e-20,-4.9080306195701104e-20,2.017781618563937e-17,0.0
0.012,0.004,0.0,0.0,1.6012677712409667e-19,-1.2270076548925277e-19,3.364107673765505e-17,0.0
0.016,0.004,0.0,0.0,3.2649357255031314e-19,-2.196940985542322e-19,5.3133658727136174e-17,0.0
0.020000000000000004,0.0040000000000000036,0.0,0.0,5.723478488789546e-19,-3.369445286042929e-19,7.321046835085988e-17,0.0
0.024000000000000007,0.0040000000000000036,0.0,1.1150808843631363e-05,6.335378709125467e-06,-1.3164619780624924e-08,0.0031659284381799053,0.0
0.02800000000000001,0.0040000000000000036,0.0,6.106871830036585e-05,3.447819715331637e-05,-1.9883384959942002e-08,0.008184219806808524,0.0
0.032000000000000015,0.0040000000000000036,0.0,0.00013874384937836507,7.779401430390591e-05,4.780478762203366e-08,0.011572314748348696,0.0
0.03600000000000002,0.0040000000000000036,0.0,0.00023472627535644155,0.00013061342389838386,1.9236388952890183e-07,0.013649413262326132,0.0
0.04000000000000002,0.0040000000000000036,0.0,0.00034222014556163405,0.00018887260010529765,4.076274069878161e-07,0.014802450763750483,0.0
0.044000000000000025,0.0040000000000000036,0.0,0.0004481060857344657,0.0002445203332143862,6.679268210742979e-07,0.012705745246566418,0.7625602415734829
0.04800000000000003,0.0040000000000000036,0.0,0.0005307229534764004,0.0002843232704649166,9.16962756223809e-07,0.009201131760394056,0.8666749256448538
0.05200000000000003,0.0040000000000000036,0.0,0.000598901327776845,0.00031421674142182354,1.1536510616073517e-06,0.007014346250599065,0.9509928104453842
0.056000000000000036,0.0040000000000000036,0.0,0.0006582188394182545,0.00033796409609615133,1.3768016297373362e-06,0.005661298245516654,1.0182745247141707
0.06000000000000004,0.0040000000000000036,0.0,0.0007121677913813359,0.0003579344515444437,1.5853574847944877e-06,0.004831819071963045,1.070712237376198
0.06400000000000004,0.0040000000000000036,0.0,0.0007629439975522976,0.0003756301558319966,1.7789386435736227e-06,0.004338091337040268,1.1100934790576504
0.06800000000000005,0.0040000000000000036,0.0,0.0008119372054901287,0.00039200710897011303,1.9587431480494606e-06,0.004046834127428582,1.1100934790576504
0.07200000000000005,0.0040000000000000036,0.0,0.0008598856980135874,0.0004075594091009876,2.1253605938915357e-06,0.003868709403040472,1.1378969383747068
0.07600000000000005,0.0040000000000000036,0.0,0.0009072474172668875,0.0004226305868793973,2.2754257546673267e-06,0.003763750659994269,1.1689630454431517
0.08000000000000006,0.0040000000000000036,0.0,0.0009541788192963971,0.00043737136833430716,2.4056861883130142e-06,0.003679401638511652,1.1689677230554203
0.08400000000000006,0.0040000000000000036,0.0,0.0010022350307364574,0.000452744355459291,2.5337545529156347e-06,0.004081163389505633,0.4029494632420881
0.08800000000000006,0.0040000000000000036,0.0,0.0010552872056141685,0.00047111237819404806,2.7044710177447557e-06,0.004706213496347113,0.4743392181971551
0.09200000000000007,0.0040000000000000036,0.0,0.0011106005388252119,0.0004907328023504775,2.894728157006657e-06,0.004941549451933439,0.5401632567827284
