t,tilt,effort_max,joint_speed_max
0.004,0.0,0.0,2.2026824808563106e-16
0.008,0.0,0.0,2.922107000813412e-16
0.012,0.0,0.0,5.653255641391297e-16
0.016,0.0,0.0,1.034949903555571e-15
0.02,0.0,0.0,1.841415908643285e-15
0.024,0.0,0.0,0.09374452085951335
0.028,1.2020167404189313e-06,0.0,0.15077636582211446
0.032,1.6192290433892738e-06,0.0,0.18055939770484622
0.036000000000000004,1.5558696227168841e-06,0.0,0.1929596295469325
0.04,1.9748395987787257e-06,0.0,0.19492847568219032
0.044000000000000004,2.8728341268622115e-06,0.0,0.19102957472990043
0.048,4.789373222794323e-06,0.0,0.1841912518239613
0.052000000000000005,8.513859004258852e-06,0.0,0.1762356888789495
0.056,1.4419004510259073e-05,0.0,0.16824760361055527
0.060000000000000005,2.2622593311318984e-05,0.0,0.16082870975945945
0.064,3.3140624704402355e-05,0.0,0.15426612685225516
0.068,4.593081774368791e-05,0.0,0.14863543727459047
0.07200000000000001,6.098231539078513e-05,0.0,0.1439017175669606
0.076,7.824604852880409e-05,0.0,0.13999697343635725
0.08,9.754789871489953e-05,0.0,0.13683806767765455
0.084,0.0001186323491906335,0.0,0.13433552362828194
0.08800000000000001,0.00014120583546519717,0.0,0.13239932260702986
0.09200000000000001,0.0001649707638399402,0.0,0.13094569532016767
0.096,0.0001896396813461898,0.0,0.1298943244238372
0.1,0.0002149133257624358,0.0,0.12916821817368515
0.10400000000000001,0.00024050997329306149,0.0,0.12870075509456635
0.10800000000000001,0.00026621026060952134,0.0,0.12843086487746155
0.112,0.00029189071006517804,0.0,0.12830291353368586
0.116,0.0003175077647795408,0.0,0.12826968149152093
0.12000000000000001,0.00034307250499624354,0.0,0.1282930469409187
0.12400000000000001,0.0003686330868665049,0.0,0.12834384125965304
0.128,0.00039426876217137097,0.0,0.12840037478147776
0.132,0.00042007575489790716,0.0,0.12844739576739309
0.136,0.000446148376388957,0.0,0.12847482107332386
0.14,0.0004725742699418424,0.0,0.12847657122650943
0.14400000000000002,0.0004994321729752107,0.0,0.1284495678735501
0.14800000000000002,0.0005267906152124894,0.0,0.1283929055608975
0.152,0.000554707331919707,0.0,0.128307189184648
0.156,0.0005832292128874092,0.0,0.12819401843173642
0.16,0.0006123926486253895,0.0,0.12805559688317977
0.164,0.0006422241593437309,0.0,0.12789444340806141
0.168,0.0006727412173477692,0.0,0.12771318531267678
0.17200000000000001,0.0007039531932774744,0.0,0.12751441536871624
0.17600000000000002,0.0007358623661318512,0.0,0.12730059771393976
0.18000000000000002,0.0007684649561492623,0.0,0.12707401036481944
0.18400000000000002,0.0008017521439117265,0.0,0.12683671454008508
0.188,0.0008357110508962099,0.0,0.12659054310597168
0.192,0.0008703256615593468,0.0,0.12633710221437525
0.196,0.0009055776745198429,0.0,0.12607778163994823
0.2,0.0009414472736053845,0.0,0.12581377047046732
0.20400000000000001,0.0009779138138619867,0.0,0.12554607570954301
0.20800000000000002,0.0010149564224447708,0.0,0.1252755420532818
0.21200000000000002,0.0010525545129035053,0.0,0.1250028716404473
0.21600000000000003,0.001090688218261404,0.0,0.12472864298149387
