phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,adapter_safety_state,nonfoot_floor_contacts
stand,0.44000000000000034,0.44000000000000034,-0.10236327217012751,-0.020772269842156504,-0.03723350632253143,0.02583334147177374,0.14940864881032284,0.2873691484456519,1.0,0,0,0,0,NOMINAL,0
stand,0.48000000000000037,0.48000000000000037,-0.10379079284449332,-0.013367390532793254,-0.03826744834084669,0.03743428453059847,0.14781301875657812,0.5042914820386939,1.0,0.00016869306259817378,0,0,0,NOMINAL,0
stand,0.5199999999999981,0.5199999999999981,-0.11044836286897308,-0.0019255279946469761,-0.04073437716822916,0.04849240869303793,0.15631973306604352,0.052218218385960885,1.0,0,0,0,0,NOMINAL,0
stand,0.5599999999999937,0.5599999999999937,-0.10968731431539708,-0.009531237635932768,-0.03807620963298554,0.04578863363036508,0.15059416666873918,0.26424119992236605,1.0,0,0,0,0,NOMINAL,0
stand,0.5999999999999893,0.5999999999999893,-0.10854796368811455,-0.015254270900586616,-0.037920151872020254,0.04717503380968171,0.14512705569529283,0.1264863492354868,1.0,0,0,0,0,NOMINAL,0
stand,0.6399999999999849,0.6399999999999849,-0.11317693422254595,-0.019957202300822298,-0.04003566608771059,0.047192232321237565,0.1480840082346397,0.18535451749598453,1.0,0,0,0,0,NOMINAL,0
stand,0.6799999999999805,0.6799999999999805,-0.11311511333140664,-0.013872478940210884,-0.0405128707999567,0.053884784291482114,0.14080948154876036,0.2036537039174236,1.0,0,0,0,0,NOMINAL,0
stand,0.7199999999999761,0.7199999999999761,-0.11720084862833446,-0.009049162050868725,-0.04138746224709437,0.05921244136299043,0.14179475375129227,0.23902927835912496,1.0,0,0,0,0,NOMINAL,0
stand,0.7599999999999717,0.7599999999999717,-0.11758592815238095,-0.014239345229988602,-0.0399023910842264,0.06264625895285689,0.13826024972154455,0.17358271362306063,1.0,0,0,0,0,NOMINAL,0
stand,0.7999999999999673,0.7999999999999673,-0.11841424632815965,-0.02203046353679843,-0.039625659909135136,0.06389945945596248,0.13668632019653926,0.28447845008510747,1.0,0,0,0,0,NOMINAL,0
stand,0.8399999999999629,0.8399999999999629,-0.12362288489986646,-0.026825201035314786,-0.04010391127787344,0.06973509083447174,0.1434425615301379,0.21236199978575485,1.0,0,0,0,0,NOMINAL,0
stand,0.8799999999999585,0.8799999999999585,-0.12518028285697425,-0.02359388487597395,-0.039480602499467235,0.07820409235832966,0.14152334670804168,0.10717237839855456,1.0,0,0,0,0,NOMINAL,0
stand,0.9199999999999541,0.9199999999999541,-0.12617181298905816,-0.01688009943026057,-0.040819957659929136,0.08566593838898834,0.13846005521380417,0.28289882448486636,1.0,0,0,0,0,NOMINAL,0
stand,0.9599999999999497,0.9599999999999497,-0.12959963961309087,-0.0183392092020436,-0.040418479441010326,0.08978813513436484,0.14064919899168818,0.18125834610210087,1.0,0,0,0,0,NOMINAL,0
stand,0.9999999999999453,0.9999999999999453,-0.12763171906603213,-0.02656493841440944,-0.0400749674641079,0.08727787774791358,0.1354973017805061,0.26777620916689837,1.0,0,0,0,0,NOMINAL,0
stand,1.039999999999941,1.039999999999941,-0.13109121104029095,-0.03360585525083471,-0.040566494694564866,0.0907298992490357,0.1409711410303023,0.24000437391509188,1.0,0,0,0,0,NOMINAL,0
stand,1.0799999999999366,1.0799999999999366,-0.13503843914480027,-0.03139078693623252,-0.039145242376110015,0.09848999423996542,0.14321491852401785,0.10494940002021161,1.0,0,0,0,0,NOMINAL,0
stand,1.1199999999999322,1.1199999999999322,-0.13425712065292256,-0.025518855874765305,-0.04036967418551109,0.10688224269779133,0.13696946879048208,0.23101576989090195,1.0,0,0,0,0,NOMINAL,0
stand,1.1599999999999278,1.1599999999999278,-0.13841941783439513,-0.026308822722124037,-0.041088567980937254,0.11326715507977372,0.14026555680110567,0.2710767579051555,1.0,0,0,0,0,NOMINAL,0
stand,1.1999999999999234,1.1999999999999234,-0.13630466070100192,-0.035213298973487434,-0.04040837482481024,0.11292403329927127,0.1354077232885317,0.23739192013913096,1.0,0,0,0,0,NOMINAL,0
stand,1.239999999999919,1.239999999999919,-0.13750430389451787,-0.04217248817133882,-0.0407512796119084,0.116888816066398,0.13737581247582076,0.1727159234124183,1.0,0,0,0,0,NOMINAL,0
stand,1.2799999999999145,1.2799999999999145,-0.1409955035448431,-0.03655343646086741,-0.03998981150661342,0.12634001904673084,0.13833625601527705,0.26296303317324293,1.0,0,0,0,0,NOMINAL,0
stand,1.3199999999999101,1.3199999999999101,-0.13999089556146715,-0.03451042654724271,-0.040988029273273864,0.13173932782429149,0.13387288653016607,0.07113713791086353,0.8113957885067973,0,0,0,0,NOMINAL,0
stand,1.3599999999999057,1.3599999999999057,-0.14065768475516852,-0.03836924289501362,-0.040589088434092646,0.13492142354152328,0.13463843455021227,0.1137889845311306,1.0,0,0,0,0,NOMINAL,0
stand,1.3999999999999013,1.3999999999999013,-0.13962549557266796,-0.04370484130638732,-0.04068364172875436,0.13630017608331907,0.13429122942761204,0.17165924913668912,1.0,0,0,0,0,NOMINAL,0
stand,1.439999999999897,1.439999999999897,-0.14041967875846398,-0.0419726618059008,-0.040532547283693966,0.1439937804054133,0.13455935496604177,0.20596813550772078,1.0,0,0,0,0,NOMINAL,0
stand,1.4799999999998925,1.4799999999998925,-0.14055912522131797,-0.03814046161766254,-0.040400013883884936,0.14826675044437954,0.13332501439532957,0.06317148594829701,0.6439927070306228,0,0,0,0,NOMINAL,0
stand,1.519999999999888,1.519999999999888,-0.14040122599046778,-0.036812903988373114,-0.04070419573568645,0.15037706649623578,0.1328595605032481,0.018615730646571235,0.5029958946139702,0,0,0,0,NOMINAL,0
stand,1.5599999999998837,1.5599999999998837,-0.14055883311987213,-0.03792376251124983,-0.040762749088768986,0.15157656776727618,0.1338914605576582,0.040922647771666064,0.7058244917306923,0,0,0,0,NOMINAL,0
stand,1.5999999999998793,1.5999999999998793,-0.1402741153198264,-0.03850596687684285,-0.040647799036328196,0.15237750345208098,0.13399563186436353,0.012267221390788435,0.7752425914044337,0,0,0,0,NOMINAL,0
stand,1.639999999999875,1.639999999999875,-0.1399944311836898,-0.03768521934998496,-0.040434744995155134,0.15368545728089467,0.1334889145920333,0.02841685306010905,0.5953825168611356,0,0,0,0,NOMINAL,0
stand,1.6799999999998705,1.6799999999998705,-0.14010900736718712,-0.036249331285296935,-0.04038366081300909,0.15528572383392908,0.1332219279083911,0.0365515386484353,0.4527760216224344,0,0,0,0,NOMINAL,0
stand,1.719999999999866,1.719999999999866,-0.14010775825910488,-0.03563558332080945,-0.04043946868908933,0.1560061232236096,0.13294262244241775,0.00635764936011489,0.4419795169631843,0,0,0,0,NOMINAL,0
stand,1.7599999999998617,1.7599999999998617,-0.14008236730113813,-0.03564712755861768,-0.040531174649476774,0.1562873047651999,0.13267712883236002,0.0030388379119740956,0.4971588473463435,0,0,0,0,NOMINAL,0
stand,1.7999999999998573,1.7999999999998573,-0.1399266387298793,-0.03655956436840413,-0.04062962105111886,0.15625205007171344,0.13239998692742333,0.02920217792062943,0.576130423517683,0,0,0,0,NOMINAL,0
stand,1.8399999999998529,1.8399999999998529,-0.13961797828629438,-0.037403763236057555,-0.040644706436546336,0.15621403553555271,0.13181106155029004,0.01841326208686977,0.6558442547822291,0,0,0,0,NOMINAL,0
stand,1.8799999999998485,1.8799999999998485,-0.13940686686005885,-0.03774464115341873,-0.04064204910811587,0.15637779369532362,0.13124939745027314,0.006311478681343745,0.6411052140660803,0,0,0,0,NOMINAL,0
stand,1.919999999999844,1.919999999999844,-0.13934617429622323,-0.03778997704363507,-0.04060421626226642,0.1565498311402393,0.1309469225685395,0.0002428600412932975,0.5841497967952325,0,0,0,0,NOMINAL,0
stand,1.9599999999998396,1.9599999999998396,-0.13928625730417013,-0.03749796863316733,-0.0405485202718987,0.1568575738733554,0.1305987829471692,0.009749095825917129,0.537722569269224,0,0,0,0,NOMINAL,0
stand,1.9999999999998352,1.9999999999998352,-0.13928489707613112,-0.037156234287546705,-0.04054946396694147,0.15715053318005487,0.13034117453881638,0.0072424439461470985,0.5036897068388541,0,0,0,0,NOMINAL,0
stand,2.0399999999998486,2.0399999999998486,-0.13925553931385273,-0.03706357588323631,-0.04057356398119325,0.15730287360318995,0.1301436626147321,0.0013605851915248158,0.512456000368145,0,0,0,0,NOMINAL,0
stand,2.079999999999862,2.079999999999862,-0.13924656795656312,-0.037193113640815255,-0.04061698215810028,0.15737546686157686,0.13003367212782369,0.004841725437910035,0.5427378913864466,0,0,0,0,NOMINAL,0
stand,2.1199999999998753,2.1199999999998753,-0.13912602348427952,-0.0377640279649465,-0.04066171640451265,0.15718496820069364,0.12990548989100226,0.016906107829054575,0.5868297815879543,0,0,0,0,NOMINAL,0
stand,2.1599999999998887,2.1599999999998887,-0.1389304600217786,-0.038133528481354005,-0.04065798243592205,0.15711592593905205,0.1296171320879824,0.007360464527178985,0.6337459449404198,0,0,0,0,NOMINAL,0
stand,2.199999999999902,2.199999999999902,-0.13884981014138925,-0.03823453123173713,-0.04064148400795136,0.1571933568231463,0.12947085861248803,0.0015740523707923103,0.6046649671619155,0,0,0,0,NOMINAL,0
stand,2.2399999999999154,2.2399999999999154,-0.1388036258941664,-0.03815598697012288,-0.04057915004910486,0.15726880719117567,0.12938310949534768,0.003002653839025478,0.5711898483567092,0,0,0,0,NOMINAL,0
stand,2.2799999999999288,2.2799999999999288,-0.138836772047494,-0.03761007285688498,-0.040521339885524886,0.1575247349999597,0.1292349728679114,0.016518494689916723,0.5201309094917267,0,0,0,0,NOMINAL,0
stand,2.319999999999942,2.319999999999942,-0.13889425408969755,-0.03724792222953269,-0.0405309062788399,0.1577331835830352,0.129155147049438,0.0058469403844759,0.49490341277562777,0,0,0,0,NOMINAL,0
stand,2.3599999999999555,2.3599999999999555,-0.13888637285525735,-0.03715398503865933,-0.04055302835908165,0.15783488424967942,0.12902806941018005,0.001111957596439515,0.5066190926286162,0,0,0,0,NOMINAL,0
stand,2.399999999999969,2.399999999999969,-0.13889698299113343,-0.03724515522550506,-0.040593150550963686,0.15793389296418356,0.1289321666717487,0.003778671810794638,0.5355516770292411,0,0,0,0,NOMINAL,0
stand,2.439999999999982,2.439999999999982,-0.13879539124338797,-0.037742356664157144,-0.04064114156704755,0.1577601996012196,0.128782369196789,0.014914177611573955,0.5758766592432866,0,0,0,0,NOMINAL,0
stand,2.4799999999999955,2.4799999999999955,-0.13861120883644873,-0.038084155439945366,-0.04064177068498441,0.15766915525371616,0.12847142115491578,0.007052379521242988,0.6092585852634091,0,0,0,0,NOMINAL,0
stand,2.520000000000009,2.520000000000009,-0.13853220924241588,-0.03817967682066232,-0.0406286385002194,0.15773115669155094,0.12830425104885307,0.0015213424777662321,0.5927206759501172,0,0,0,0,NOMINAL,0
stand,2.5600000000000223,2.5600000000000223,-0.1385073679083278,-0.03811164681651111,-0.04057258726893664,0.15779300961014212,0.128251124760635,0.0026350844776635318,0.5631969852156423,0,0,0,0,NOMINAL,0
stand,2.6000000000000356,2.6000000000000356,-0.13855128718149248,-0.03761508898216095,-0.04051612485280035,0.15801537755258907,0.1281541248413641,0.01507312605639234,0.5183358061125735,0,0,0,0,NOMINAL,0
stand,2.640000000000049,2.640000000000049,-0.13862056538709888,-0.037275410911710806,-0.04052218754650774,0.1582055537981394,0.12812899812307185,0.005680091775770179,0.49222759848452674,0,0,0,0,NOMINAL,0
stand,2.6800000000000623,2.6800000000000623,-0.13862126055505325,-0.03719126446402286,-0.04054174122366844,0.15831485801551518,0.12805253362120278,0.0008791045394678148,0.5027709551285987,0,0,0,0,NOMINAL,0
stand,2.7200000000000757,2.7200000000000757,-0.1386521794489338,-0.03728619449969972,-0.040581018488626795,0.15842029783849046,0.12802181766084453,0.0037894529588085304,0.531272397103094,0,0,0,0,NOMINAL,0
stand,2.760000000000089,2.760000000000089,-0.13856360492199976,-0.037786601894158785,-0.040632752072237634,0.15825918415949153,0.12792797607161166,0.014971584809629852,0.571630550979647,0,0,0,0,NOMINAL,0
stand,2.8000000000001024,2.8000000000001024,-0.13840084797435373,-0.0381508596117354,-0.04063339109809203,0.15816534764634904,0.12769172540396284,0.007153979119275945,0.5988971416419465,0,0,0,0,NOMINAL,0
stand,2.8400000000001158,2.8400000000001158,-0.13832564534717068,-0.038258646370198914,-0.04061970620799351,0.1582287588769926,0.12756214504888805,0.0017540675290039444,0.5904329369087803,0,0,0,0,NOMINAL,0
stand,2.880000000000129,2.880000000000129,-0.13831468113788087,-0.03821239244982168,-0.040569267924650695,0.15828842607193633,0.12756515613476788,0.0021323407135387,0.5625287486497855,0,0,0,0,NOMINAL,0
stand,2.9200000000001425,2.9200000000001425,-0.13836120317038034,-0.037741186474585096,-0.040508527759030966,0.15851323497856432,0.12751005576653568,0.014494214907763417,0.5213832673401443,0,0,0,0,NOMINAL,0
stand,2.960000000000156,2.960000000000156,-0.1384469925523173,-0.037366709586798816,-0.040508804148252954,0.15873858340159044,0.12752359276538633,0.0069055641628872014,0.4904413736932282,0,0,0,0,NOMINAL,0
stand,3.000000000000169,3.000000000000169,-0.1384515210591181,-0.03726798398315183,-0.04052684854571307,0.15886332419177657,0.1274683903402596,0.0009197718357088268,0.49850101639215477,0,0,0,0,NOMINAL,0
stand,3.0400000000001826,3.0400000000001826,-0.13847787098081343,-0.03733886692132801,-0.04056437814607717,0.158981632897207,0.1274329798120497,0.0030533807249937305,0.5256646567185946,0,0,0,0,NOMINAL,0
stand,3.080000000000196,3.080000000000196,-0.1384122319071455,-0.03781137822921854,-0.04062079543221725,0.15883043859029547,0.1273754627180088,0.014238945487873376,0.5660052219799782,0,0,0,0,NOMINAL,0
stand,3.1200000000002093,3.1200000000002093,-0.13826301677590447,-0.03820802929471771,-0.04062571550353335,0.1587032581915662,0.12718440889299196,0.008139509139688455,0.5933410131255015,0,0,0,0,NOMINAL,0
stand,3.1600000000002226,3.1600000000002226,-0.13818353360681324,-0.03833302356395985,-0.04061252511008442,0.15875668045473815,0.12706681401074377,0.002005424581275951,0.5888848180677666,0,0,0,0,NOMINAL,0
stand,3.200000000000236,3.200000000000236,-0.1381808709918657,-0.038304352761498385,-0.04056681767844134,0.15881663040153624,0.12710508042189267,0.0018101230723032602,0.5625266864217225,0,0,0,0,NOMINAL,0
stand,3.2400000000002493,3.2400000000002493,-0.13822932283865674,-0.037857407308030055,-0.0405017047459179,0.15904828753739464,0.12708083597123587,0.013873899806010273,0.5240455197746923,0,0,0,0,NOMINAL,0
stand,3.2800000000002627,3.2800000000002627,-0.13832808284524464,-0.03744982207254577,-0.040496458553161856,0.1592972377101644,0.12711809308827787,0.008120914275157763,0.4891728340450563,0,0,0,0,NOMINAL,0
stand,3.320000000000276,3.320000000000276,-0.13834098937691802,-0.03733289702317504,-0.0405137933665511,0.15942890632314097,0.1270815149251311,0.0009717525416146131,0.49475986012860806,0,0,0,0,NOMINAL,0
stand,3.3600000000002894,3.3600000000002894,-0.1383660196265671,-0.037385585262931606,-0.040549167872846674,0.15954949554274267,0.1270480328032709,0.0025488804602537764,0.5206250605826118,0,0,0,0,NOMINAL,0
stand,3.400000000000303,3.400000000000303,-0.13831695985214001,-0.037835865719466004,-0.04060862321881037,0.15940441923550866,0.12701869592472861,0.013675459182152228,0.561233738916196,0,0,0,0,NOMINAL,0
