t,dt,force_n,tilt_rad,x,y,speed_m_s,effort_nm
0.004,0.004,0.0,0.0,1.0675118474939779e-20,-8.18005103261685e-21,6.724674506199822e-18,0.0
0.008,0.004,0.0,0.0,7.655537912243746e-20,-4.5252770849569305e-20,2.4559245785028637e-17,2.4783730623312295e-16
0.012,0.004,0.0,0.0,2.2555690216159135e-19,-9.302110959482288e-20,4.266334334735014e-17,3.083755473198835e-16
0.016,0.004,0.0,0.0,4.2790773546710474e-19,-1.4946556077229268e-19,5.5845932882398e-17,3.083755473198835e-16
0.020000000000000004,0.0040000000000000036,0.0,0.0,6.828061421077785e-19,-2.0125901430594523e-19,6.823883701687835e-17,5.092449964172272e-16
0.024000000000000007,0.0040000000000000036,0.0,1.1157766221159737e-05,6.341346394231291e-06,-1.2884415518311411e-08,0.0031689108827462017,6.284039955062326e-16
0.02800000000000001,0.0040000000000000036,0.0,5.4633101327188404e-05,3.029366210642478e-05,-2.467218982144162e-08,0.00608724436627938,0.2364152823883604
0.032000000000000015,0.0040000000000000036,0.0,9.954852201585254e-05,5.2329836337223034e-05,1.4671832333050963e-08,0.005122659831285582,0.43056305150731716
0.03600000000000002,0.0040000000000000036,0.0,0.00013838384215053904,6.822107879460319e-05,9.726281510986373e-08,0.0036574095840775545,0.5849138797850323
0.04000000000000002,0.0040000000000000036,0.0,0.0001739146354664692,8.024677521039967e-05,2.104152355959067e-07,0.0028407802344270526,0.7072219193796423
0.044000000000000025,0.0040000000000000036,0.0,0.0002085626986365655,9.03261102002254e-05,3.438653038027179e-07,0.0024490738366800447,0.8039435906928707
0.04800000000000003,0.0040000000000000036,0.0,0.0002437442220298863,9.964730750848977e-05,4.89460218767343e-07,0.0023171147253016355,0.8799218314572448
0.05200000000000003,0.0040000000000000036,0.0,0.00028017190155830605,0.00010886540499809528,6.421664621537898e-07,0.0023134598084728957,0.8799218314572448
0.056000000000000036,0.0040000000000000036,0.0,0.0003181171077078598,0.00011827216159320417,8.001556417566896e-07,0.0023840701888433375,0.9388320229823774
0.06000000000000004,0.0040000000000000036,0.0,0.0003578093560454326,0.00012816010476905253,9.565944393354538e-07,0.002522791765055618,1.0284298234989613
0.06400000000000004,0.0040000000000000036,0.0,0.00039931764951198917,0.00013871809197231827,1.1055092594528213e-06,0.002692795787549571,1.0506980872795375
0.06800000000000005,0.0040000000000000036,0.0,0.0004425508214253746,0.0001499727927754084,1.2470713753652564e-06,0.002866635579494936,1.0639880851064174
0.07200000000000005,0.0040000000000000036,0.0,0.0004872980575052487,0.00016185454382367973,1.3804304391522613e-06,0.0030157564280800953,1.0694597592548023
0.07600000000000005,0.0040000000000000036,0.0,0.0005332515252726266,0.0001742107122516242,1.503288868898345e-06,0.0031229950737101443,1.0681369471472217
0.08000000000000006,0.0040000000000000036,0.0,0.0005800862812353784,0.00018685169576390401,1.6129759483167537e-06,0.0031808381821228156,1.0681369471472217
