phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,adapter_safety_state,nonfoot_floor_contacts
stand,0.04000000000000003,0.04000000000000003,0.024823623965570262,-0.00047870354608985273,-0.006429496476680292,-0.0015088329949389087,0.039335896641348594,0.9024009692976385,1.0,0.0007067915572413813,0,0,0,NOMINAL,0
stand,0.08000000000000006,0.08000000000000006,0.021927606656600332,0.014512740587540672,-0.029843956728805233,-0.0008491998781486655,0.04102272000451931,0.9209323855112416,1.0,0.0007158962357361731,0,0,0,NOMINAL,0
stand,0.12000000000000009,0.12000000000000009,0.012797624470913468,-0.0033836473594229667,-0.049602103892891505,-0.00043622285921639345,0.02385244908782937,0.8615435232125292,1.0,0,0,0,0,NOMINAL,0
stand,0.16000000000000011,0.16000000000000011,0.013877735780080905,-0.017107482650282353,-0.04498135941273403,-0.004047245049186954,0.04615787394560027,0.2977301436447619,1.0,0,0,0,0,NOMINAL,0
stand,0.20000000000000015,0.20000000000000015,-0.0013709196435928708,-0.02178000287031252,-0.04012372495010639,-0.009932490335763254,0.049990697199760174,0.3345126050087128,1.0,0,0,0,0,NOMINAL,0
stand,0.24000000000000019,0.24000000000000019,-0.010000639021527539,-0.021776642320636103,-0.037852123534353126,-0.009917401472907234,0.05122274938352468,0.22502260508928382,0.607943049524467,0,0,0,0,NOMINAL,0
stand,0.2800000000000002,0.2800000000000002,-0.014616663127775334,-0.017651775820675883,-0.03788340406137143,-0.00691325318115864,0.045178713934504997,0.19082129399700015,1.0,0,0,0,0,NOMINAL,0
stand,0.32000000000000023,0.32000000000000023,-0.01608067826889255,-0.009840397251628675,-0.039588012383423125,0.000687958108031928,0.03205093900848821,0.29237125262127867,1.0,0.00010573589474923234,0,0,0,NOMINAL,0
stand,0.36000000000000026,0.36000000000000026,-0.01586573539328442,0.012031783892506887,-0.04389131228724411,0.016546031186045203,0.028367289339154247,0.6193706723782851,1.0,0.00027272670476683527,0,0,0,NOMINAL,0
stand,0.4000000000000003,0.4000000000000003,-0.022334724420220622,0.019222965087206195,-0.043483848112712706,0.019254224458166554,0.043167322256314714,0.13985189097572368,1.0,0.0002656582661572895,0,0,0,NOMINAL,0
stand,0.44000000000000034,0.44000000000000034,-0.022008009530291386,0.01975095376902653,-0.04009548269585726,0.018674258821623175,0.04011503748042131,0.05852881464895183,1.0,0,0,0,0,NOMINAL,0
stand,0.48000000000000037,0.48000000000000037,-0.019298876623708567,0.019859243033271388,-0.03956346679170656,0.018848771178186233,0.03338328315727141,0.10029276575251009,0.9705148519675869,0,0,0,0,NOMINAL,0
stand,0.5199999999999981,0.5199999999999981,-0.015182000956977559,0.008756987773933954,-0.041925930921143835,0.019287208556755038,0.009719658842970887,0.44705927980093635,1.0,0,0,0,0,NOMINAL,0
stand,0.5599999999999937,0.5599999999999937,-0.019057889626830866,-0.001260653241244875,-0.044619120638896566,0.021635374125032136,0.010433772114735406,0.14645713218468698,1.0,0,0,0,0,NOMINAL,0
stand,0.5999999999999893,0.5999999999999893,-0.020778104053026013,0.003156066596807855,-0.043563819314325306,0.023735109330215477,0.004452338012209729,0.12758957354428538,1.0,0,0,0,0,NOMINAL,0
stand,0.6399999999999849,0.6399999999999849,-0.021737803041547897,0.0063256044646898095,-0.04389730568213489,0.02642271440054142,0.004367754600107903,0.12469467948217043,1.0,0.00010167310214981439,0,0,0,NOMINAL,0
stand,0.6799999999999805,0.6799999999999805,-0.02079831766031293,0.0017064066282915262,-0.043309907810718036,0.03133716884639424,0.004567020819785865,0.1260814887689869,0.803353136014857,0.00028696771538249896,0,0,0,NOMINAL,0
stand,0.7199999999999761,0.7199999999999761,-0.017947026258687864,0.0021555262764961806,-0.04325032731120697,0.03399989466724429,0.004111324682779042,0.11174800862665601,0.9359850369297668,0.00038593095546642493,0,0,0,NOMINAL,0
stand,0.7599999999999717,0.7599999999999717,-0.017532376411590223,0.0033618884042264123,-0.04319338469436389,0.03595123418131993,0.0032052177183210487,0.014219916579689702,0.6429875447455352,0.0003694742502314036,0,0,0,NOMINAL,0
stand,0.7999999999999673,0.7999999999999673,-0.017901894349077827,0.0032918925613482837,-0.043145484803081634,0.0376148115784053,0.005043928874539931,0.011450154528353938,0.5963885294924783,0.00024508608417646565,0,0,0,NOMINAL,0
stand,0.8399999999999629,0.8399999999999629,-0.018337596694583434,0.003427264381190856,-0.0431219453037935,0.038732566068725806,0.0065756225624218735,0.009881676080056289,0.5779334741383616,0.00018165750985165132,0,0,0,NOMINAL,0
stand,0.8799999999999585,0.8799999999999585,-0.018615348966316978,0.0036027918539375194,-0.043103110446429484,0.03956658095215758,0.00730653781127152,0.005457140093649938,0.5962029838117137,0.000155704111378045,0,0,0,NOMINAL,0
stand,0.9199999999999541,0.9199999999999541,-0.018564738125561198,0.003655652881220359,-0.04309059452775133,0.0402041807589003,0.007061015246063507,0.004357974280521423,0.6021208377163659,0.00012995416744117805,0,0,0,NOMINAL,0
stand,0.9599999999999497,0.9599999999999497,-0.01834615089337667,0.003660141367409628,-0.043078754167423565,0.04081266780253467,0.006250920265138953,0.006476861748011495,0.5916085449782772,0.000123129394829705,0,0,0,NOMINAL,0
stand,0.9999999999999453,0.9999999999999453,-0.01807625850965306,0.00364208197054487,-0.04306802362008011,0.04145800890959489,0.005311650007778149,0.006986582307893384,0.5825142424058343,0.00013223383469905672,0,0,0,NOMINAL,0
stand,1.039999999999941,1.039999999999941,-0.017815307950062746,0.003609711822970353,-0.043060306131256464,0.042096634713529923,0.004500808654766185,0.00618534247604903,0.5769265977935701,0.00014659211688067047,0,0,0,NOMINAL,0
stand,1.0799999999999366,1.0799999999999366,-0.01760045874985547,0.0035742783425294082,-0.04305594630832934,0.04268807275144037,0.0039192175815492445,0.0047106614064061705,0.5738899616018968,0.0001589178803591123,0,0,0,NOMINAL,0
stand,1.1199999999999322,1.1199999999999322,-0.017444590671155225,0.003545042426381222,-0.04305413241532285,0.04322716458739992,0.0035522752997977627,0.003243442024505594,0.571377500506863,0.0001661841937051454,0,0,0,NOMINAL,0
stand,1.1599999999999278,1.1599999999999278,-0.017337881928726716,0.003523502229228421,-0.043054026940074624,0.04373160287808978,0.0033386893326311524,0.002196654018023538,0.5692603116924722,0.0001689830608277343,0,0,0,NOMINAL,0
stand,1.1999999999999234,1.1999999999999234,-0.017264851961477545,0.003510167873831102,-0.04305481256861574,0.044211896446526934,0.003216205865134866,0.0015268748857774504,0.5680118515608777,0.00016967117471934303,0,0,0,NOMINAL,0
stand,1.239999999999919,1.239999999999919,-0.017216075377633016,0.0035042657924454954,-0.04305592448820048,0.04467116332260799,0.0031421159595328885,0.0009172943010609827,0.567419440505759,0.0001696684952752586,0,0,0,NOMINAL,0
stand,1.2799999999999145,1.2799999999999145,-0.017187421835502516,0.0035035798789400173,-0.043057053597291325,0.04511245145260437,0.0030927145501923586,0.0005899502005696055,0.5670763150475456,0.0001685361504766356,0,0,0,NOMINAL,0
stand,1.3199999999999101,1.3199999999999101,-0.017165744761504908,0.003506906880673164,-0.043057938537447535,0.045537444650478855,0.0030431632489735898,0.0005743174222538979,0.5666619649167798,0.00016706668702848491,0,0,0,NOMINAL,0
stand,1.3599999999999057,1.3599999999999057,-0.017143430831283862,0.003513160978035503,-0.04305855450573965,0.045947796699035155,0.0029820329149040895,0.0006466485195111317,0.5661238969512871,0.00016612878106246634,0,0,0,NOMINAL,0
stand,1.3999999999999013,1.3999999999999013,-0.017119208484173632,0.0035212023843450616,-0.04305901105759341,0.04634501752246315,0.0029104994577778326,0.000688086670465528,0.5654964571429576,0.00016609220123079706,0,0,0,NOMINAL,0
stand,1.439999999999897,1.439999999999897,-0.017094544713212912,0.003530292021572402,-0.043059446072649124,0.04673090706282248,0.00283486118294551,0.0006752866224428094,0.5648085248620262,0.00016677179724030683,0,0,0,NOMINAL,0
stand,1.4799999999998925,1.4799999999998925,-0.017071321285254487,0.0035400017861129305,-0.04305997173673764,0.047107207459139225,0.0027614913447687062,0.000619358583758914,0.5640828846848805,0.0001676464178020871,0,0,0,NOMINAL,0
stand,1.519999999999888,1.519999999999888,-0.01705063597564799,0.003549908412790242,-0.04306064400733383,0.047474510898875555,0.0026944301199968786,0.000549682493542512,0.5633573543186062,0.0001685192504765552,0,0,0,NOMINAL,0
stand,1.5599999999998837,1.5599999999998837,-0.01703264282854096,0.003559760048021639,-0.04306147030557045,0.04783309649502049,0.0026348650989779484,0.0004873565930571123,0.5626492834108456,0.0001692788681203611,0,0,0,NOMINAL,0
stand,1.5999999999998793,1.5999999999998793,-0.017016896687652213,0.003569409304333454,-0.043062428652598635,0.04818321406939602,0.002582101802207974,0.0004409151072165974,0.5619568605166315,0.0001698835301322774,0,0,0,NOMINAL,0
stand,1.639999999999875,1.639999999999875,-0.017002677880676668,0.0035787620634148156,-0.04306348434451866,0.048525144647546356,0.0025345920298957218,0.0004117715505035753,0.56127142842139,0.0001703430548973065,0,0,0,NOMINAL,0
stand,1.6799999999998705,1.6799999999998705,-0.01698927755066301,0.003587750181258852,-0.04306460190328064,0.0488592097172455,0.0024907065061493573,0.00039606882957091377,0.5605863494483841,0.00017069133534176306,0,0,0,NOMINAL,0
stand,1.719999999999866,1.719999999999866,-0.01697615888796434,0.0035963223830042432,-0.0430657523970561,0.049185748939749974,0.002449145968557271,0.0003891485583851357,0.5598971720830642,0.0001709680024607347,0,0,0,NOMINAL,0
stand,1.7599999999998617,1.7599999999998617,-0.01696301087174765,0.003604442192505324,-0.043066915720799126,0.049505104557208086,0.0024090724519899797,0.00038636069164059704,0.5592010562923301,0.0001712066382053552,0,0,0,NOMINAL,0
stand,1.7999999999998573,1.7999999999998573,-0.01694971586904187,0.0036120865396884606,-0.04306807964280678,0.04981760679873697,0.0023700620651426908,0.0003844172107875296,0.5584965012968527,0.00017143092910763602,0,0,0,NOMINAL,0
stand,1.8399999999998529,1.8399999999998529,-0.016936288720619926,0.0036192460730344145,-0.043069237979345046,0.050123564299190515,0.00233198426053442,0.00038127793091979455,0.5577821471215928,0.0001716539986735893,0,0,0,NOMINAL,0
stand,1.8799999999998485,1.8799999999998485,-0.01692279767656575,0.0036259250105632993,-0.04307038764883864,0.05042325893220581,0.0022948562085252874,0.0003766248467260169,0.5570581777195571,0.00017188123907356412,0,0,0,NOMINAL,0
stand,1.919999999999844,1.919999999999844,-0.01690933981772041,0.003632134444391612,-0.043071527714764996,0.05071694749999607,0.0022587642778792174,0.0003699392032750006,0.5563254768511092,0.00017211203670533005,0,0,0,NOMINAL,0
stand,1.9599999999998396,1.9599999999998396,-0.016896000489868602,0.003637891120369621,-0.04307265769890191,0.051004867548253764,0.002223793157761752,0.0003619573723250171,0.5555843643506574,0.00017234462929099903,0,0,0,NOMINAL,0
stand,1.9999999999998352,1.9999999999998352,-0.016882838952806328,0.0036432172032969832,-0.04307377701905251,0.05128723513632821,0.002189993680892068,0.0003532750024985581,0.5548361231007368,0.0001725763013654905,0,0,0,NOMINAL,0
stand,2.0399999999998486,2.0399999999998486,-0.016869891143593517,0.0036481339318397994,-0.043074885392449094,0.05156425818876837,0.0021573877640064048,0.0003443441544085689,0.554085276492252,0.00017280533638531747,0,0,0,NOMINAL,0
stand,2.079999999999862,2.079999999999862,-0.016857179936857904,0.00365266373361976,-0.04307598215228003,0.05183613419779335,0.0021259739876898537,0.00033532727685680176,0.5533298317114822,0.00017303015748510622,0,0,0,NOMINAL,0
stand,2.1199999999998753,2.1199999999998753,-0.016844721576845717,0.003656828046642748,-0.04307706686849628,0.05210304664604642,0.0020957389488713727,0.0003263199286175597,0.5525701788245584,0.00017324995607223372,0,0,0,NOMINAL,0
stand,2.1599999999998887,2.1599999999998887,-0.01683251528564784,0.0036606462711702378,-0.04307813899066702,0.05236517441438822,0.00206665628391214,0.0003177690458173716,0.5518064430230109,0.00017346510331389054,0,0,0,NOMINAL,0
stand,2.199999999999902,2.199999999999902,-0.016820569409915692,0.0036641366893495476,-0.04307919845614875,0.0526226883774152,0.0020387050449477244,0.0003091316135337599,0.5510375610258734,0.00017367487961612575,0,0,0,NOMINAL,0
stand,2.2399999999999154,2.2399999999999154,-0.016808878094522556,0.003667318184772487,-0.04308024499563212,0.052875749749115165,0.0020118554230479746,0.0003010541489186025,0.550264651780393,0.00017388030617192384,0,0,0,NOMINAL,0
stand,2.2799999999999288,2.2799999999999288,-0.016797445215143387,0.0036702053359906673,-0.04308127885173043,0.0531245141838612,0.0019860886334872483,0.0002928954233636049,0.549488442915327,0.00017408091676973046,0,0,0,NOMINAL,0
stand,2.319999999999942,2.319999999999942,-0.01678626583656491,0.003672814691708225,-0.04308230021228085,0.05336912966859369,0.0019613780981849,0.00028524540482733425,0.5487085509998483,0.0001742771885429878,0,0,0,NOMINAL,0
stand,2.3599999999999555,2.3599999999999555,-0.01677533447933963,0.003675161623895045,-0.04308330933004925,0.05360973742050534,0.0019376977765318496,0.0002778086708499288,0.5479262296926607,0.00017446895153379801,0,0,0,NOMINAL,0
stand,2.399999999999969,2.399999999999969,-0.016764652460164776,0.0036772601914561893,-0.0430843063214116,0.05384646996664828,0.00191502513841592,0.000270460081526811,0.5471416991430856,0.00017465608695041508,0,0,0,NOMINAL,0
stand,2.439999999999982,2.439999999999982,-0.016754219416079106,0.0036791227746525656,-0.043085291695856585,0.054079454163426355,0.001893337564009785,0.0002633185988323924,0.5463555970572403,0.00017483886732424614,0,0,0,NOMINAL,0
stand,2.4799999999999955,2.4799999999999955,-0.016744021394214388,0.003680762052382691,-0.043086265737568435,0.05430881314083006,0.0018726059068240007,0.0002567658647550516,0.5455680032487524,0.00017501780168206483,0,0,0,NOMINAL,0
stand,2.520000000000009,2.520000000000009,-0.016734054223777658,0.0036821902846490883,-0.0430872288739081,0.054534659968373374,0.0018528046794787454,0.00025028482028044343,0.544779375899347,0.00017519220490957654,0,0,0,NOMINAL,0
stand,2.5600000000000223,2.5600000000000223,-0.01672431568310506,0.003683418116798901,-0.04308818139140974,0.054757107708360536,0.0018339113961237138,0.00024400611858871123,0.543990003643862,0.00017536261040924914,0,0,0,NOMINAL,0
stand,2.6000000000000356,2.6000000000000356,-0.01671479436868784,0.003684457146281274,-0.043089123535173926,0.05497626472965071,0.001815897650635619,0.00023822024045344937,0.5432003793637027,0.00017552919253285514,0,0,0,NOMINAL,0
stand,2.640000000000049,2.640000000000049,-0.01670548747152594,0.0036853154883252515,-0.043090055728205644,0.05519223110128076,0.0017987417357562428,0.00023243218906588952,0.5424111772412153,0.0001756915780711637,0,0,0,NOMINAL,0
stand,2.6800000000000623,2.6800000000000623,-0.016696396279127917,0.0036860023411503513,-0.04309097858831415,0.05540510193034164,0.001782422217389066,0.00022673050055373794,0.5416219125807689,0.0001758502333517773,0,0,0,NOMINAL,0
stand,2.7200000000000757,2.7200000000000757,-0.016687509904596883,0.003686526985150669,-0.043091892362960904,0.05561497022503313,0.001766915571964656,0.00022150001707743586,0.5408327182118541,0.00017600561943467076,0,0,0,NOMINAL,0
stand,2.760000000000089,2.760000000000089,-0.016678817990092045,0.003686898062566051,-0.043092797283977614,0.05582192404718961,0.0017521993596831627,0.0002165312618530684,0.5400443758698137,0.0001761574218033649,0,0,0,NOMINAL,0
stand,2.8000000000001024,2.8000000000001024,-0.01667032341722153,0.003687123525037634,-0.0430936938783595,0.05602604707170873,0.001738252985861521,0.00021145422878161106,0.5392568824813416,0.00017630537767162374,0,0,0,NOMINAL,0
stand,2.8400000000001158,2.8400000000001158,-0.016662011083041304,0.0036872112522285646,-0.04309458237361109,0.05622741860358581,0.0017250525710102748,0.00020704908697385813,0.5384711269048745,0.00017645051516218432,0,0,0,NOMINAL,0
stand,2.880000000000129,2.880000000000129,-0.01665387843075487,0.0036871687514706385,-0.04309546312268685,0.05642611391161955,0.0017125758404997625,0.0002025034941587947,0.5376870602944207,0.00017659211956626807,0,0,0,NOMINAL,0
stand,2.9200000000001425,2.9200000000001425,-0.016645927182524795,0.00368700117176182,-0.04309633664379809,0.05662220900263705,0.001700804371046377,0.0001980557651742435,0.5369045401840682,0.00017673059176008554,0,0,0,NOMINAL,0
