sim_t,x,y,yaw,vx_cmd,wz_cmd,clearance_m
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.004,5.741583476474764e-23,-2.232526208638444e-23,0.0,0.3,0.0,5.994955062866211
0.084,0.008911643959535195,0.00042644739369329866,0.01241955263215751,0.3,-0.025411100049652486,5.994955062866211
0.14400000000000002,0.022645253181922915,0.0008473906543005019,0.011120457951889224,0.3,-0.02338808866400374,5.994955062866211
0.20400000000000001,0.039642980455353874,0.0010216337537506945,0.009239338331066327,0.3,-0.019877832585529453,5.994955062866211
0.20400000000000001,0.039642980455353874,0.0010216337537506945,0.009239338331066327,0.3,-0.019877832585529453,5.994955062866211
0.20400000000000001,0.039642980455353874,0.0010216337537506945,0.009239338331066327,0.3,-0.019877832585529453,5.994955062866211
0.20400000000000001,0.039642980455353874,0.0010216337537506945,0.009239338331066327,0.3,-0.019877832585529453,5.966432571411133
0.20400000000000001,0.039642980455353874,0.0010216337537506945,0.009239338331066327,0.3,-0.019877832585529453,5.966432571411133
0.24400000000000002,0.0513564147521181,0.0011338065154640055,0.00847546740823482,0.3,-0.018516269858848088,5.966432571411133
0.304,0.06924910538440775,0.0012788817995866557,0.007332910077327786,0.3,-0.01645352682505058,5.966432571411133
0.36400000000000005,0.08660419265901403,0.0014288958134411303,0.006576336759910781,0.3,-0.015174605832366142,5.966432571411133
0.404,0.09848518357286669,0.001508920405993945,0.005958895431352832,0.3,-0.014071060746533935,5.966432571411133
0.404,0.09848518357286669,0.001508920405993945,0.005958895431352832,0.3,-0.014071060746533935,5.966432571411133
0.404,0.09848518357286669,0.001508920405993945,0.005958895431352832,0.3,-0.014071060746533935,5.906393527984619
0.404,0.09848518357286669,0.001508920405993945,0.005958895431352832,0.3,-0.014071060746533935,5.906393527984619
0.464,0.11626951992964422,0.0016125048938315564,0.0051199894607635785,0.3,-0.012570641123640576,5.906393527984619
0.504,0.12809189752542427,0.0016737552251048413,0.004628434825714035,0.3,-0.011696908297826712,5.906393527984619
0.5640000000000001,0.145998484287116,0.001752372105786471,0.003901163257525928,0.3,-0.010390759551565975,5.906393527984619
0.6040000000000001,0.1576263244106665,0.0018087661875790424,0.0035883095908280124,0.3,-0.009871494872102364,5.906393527984619
0.6040000000000001,0.1576263244106665,0.0018087661875790424,0.0035883095908280124,0.3,-0.009871494872102364,5.906393527984619
0.6040000000000001,0.1576263244106665,0.0018087661875790424,0.0035883095908280124,0.3,-0.009871494872102364,5.906393527984619
0.6040000000000001,0.1576263244106665,0.0018087661875790424,0.0035883095908280124,0.3,-0.009871494872102364,5.846762180328369
0.6040000000000001,0.1576263244106665,0.0018087661875790424,0.0035883095908280124,0.3,-0.009871494872102364,5.846762180328369
0.664,0.17553663767267963,0.001870058161251009,0.0029825885185196274,0.3,-0.008789048156090077,5.846762180328369
0.7240000000000001,0.19324265296861026,0.0019268333256942081,0.002527104843727268,0.3,-0.00800323757489893,5.846762180328369
0.784,0.21104238690714175,0.0019736661906860796,0.0020809393039094874,0.3,-0.007224298392844565,5.846762180328369
0.804,0.2170131451615865,0.001986195139395333,0.001929255862299081,0.3,-0.006954714222991756,5.846762180328369
0.804,0.2170131451615865,0.001986195139395333,0.001929255862299081,0.3,-0.006954714222991756,5.846762180328369
