phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,nonfoot_floor_contacts
turn,23.43999999999072,3.439999999991983,-0.006523133052843228,0.002551879063738995,-0.04453281459320248,0.17641789843486708,0.010453224525588278,0.00019308208157267553,0.4363351034409065,0.00020425730004865333,0,0,0.6,0
turn,23.47999999999063,3.4799999999918896,-0.0065302953208176235,0.0025502322006403,-0.04454112137669711,0.1766583562644503,0.010401675093771726,0.00018993063728340781,0.4362438346031925,0.00020411470052529793,0,0,0.6,0
turn,23.519999999990535,3.5199999999917964,-0.006537345679044151,0.002548587658758678,-0.04454934454737621,0.17689574171513206,0.01035084055678498,0.00018721597154439218,0.4361582266585074,0.0002039749050641071,0,0,0.6,0
turn,23.559999999990442,3.559999999991703,-0.0065442837139447945,0.0025469469544168867,-0.04455748447588209,0.17713009599984397,0.010300710515224057,0.00018430922467149393,0.43607878885913537,0.00020383746008889884,0,0,0.6,0
turn,23.59999999999035,3.59999999999161,-0.006551110163318818,0.0025453133995314435,-0.044565541561568486,0.17736145181919946,0.010251276642753621,0.00018144649772197785,0.4360038035228577,0.00020370282273641184,0,0,0.6,0
turn,23.639999999990255,3.6399999999915167,-0.006557822515206216,0.0025436889549820163,-0.04457351592443241,0.17758984870183633,0.010202540671149096,0.0001784747408129339,0.43593647818516584,0.0002035701699689683,0,0,0.6,0
turn,23.679999999990162,3.6799999999914235,-0.006564428484428821,0.0025420721482413214,-0.04458140801722819,0.17781532431795188,0.010154488869117384,0.0001758269215723099,0.4358749997976132,0.00020343980741751108,0,0,0.6,0
turn,23.71999999999007,3.7199999999913302,-0.006570922605140475,0.0025404660142363334,-0.044589218315087845,0.17803791456682572,0.010107121670561893,0.00017283944328240285,0.43581849636452147,0.00020331128356246953,0,0,0.6,0
turn,23.759999999989976,3.759999999991237,-0.006577305123008604,0.002538869668663226,-0.04459694769079458,0.17825765808877211,0.010060428091845638,0.0001700469805317086,0.4357673441373082,0.00020318557952654046,0,0,0.6,0
turn,23.799999999989883,3.799999999991144,-0.006583581889924705,0.0025372846755464585,-0.04460459679401564,0.17847458910523506,0.010014389339805259,0.00016735719135696836,0.4357202070448547,0.00020306228608120796,0,0,0.6,0
turn,23.83999999998979,3.8399999999910506,-0.006589760830115394,0.002535712727196396,-0.04461216623635726,0.17868874284867714,0.009968984381520987,0.00016489304060658984,0.43567859569469086,0.00020294108367343075,0,0,0.6,0
turn,23.879999999989696,3.8799999999909573,-0.006595840406826919,0.0025341543321501076,-0.0446196562627328,0.1789001551601198,0.009924208781777582,0.0001622616357508955,0.43564247626355823,0.00020282198238810248,0,0,0.6,0
turn,23.919999999989603,3.919999999990864,-0.006601817102048239,0.002532613394219319,-0.044627067527989804,0.1791088607413247,0.009880061537716476,0.00015954844326949823,0.43560982142124227,0.00020270506941132496,0,0,0.6,0
