sim_t,x,y,yaw,vx_cmd,wz_cmd,clearance_m
0.08333333300000001,-5.36014360340867e-07,-3.70991910485545e-11,2.795161075919924e-08,0.3,-5.2740017230057824e-08,inf
0.16666666600000002,0.010199146184344893,-5.70928245585033e-08,-2.610374039519299e-06,0.3,5.300528057812947e-06,inf
0.208333333,0.022693250702698623,-8.635143104224731e-08,-2.0189505308836493e-06,0.3,4.1579665152838e-06,5.985010147094727
0.208333333,0.022693250702698623,-8.635143104224731e-08,-2.0189505308836493e-06,0.3,4.1579665152838e-06,5.985010147094727
0.208333333,0.022693250702698623,-8.635143104224731e-08,-2.0189505308836493e-06,0.3,4.1579665152838e-06,5.985010147094727
0.208333333,0.022693250702698623,-8.635143104224731e-08,-2.0189505308836493e-06,0.3,4.1579665152838e-06,5.985010147094727
0.208333333,0.022693250702698623,-8.635143104224731e-08,-2.0189505308836493e-06,0.3,4.1579665152838e-06,5.985010147094727
0.208333333,0.022693250702698623,-8.635143104224731e-08,-2.0189505308836493e-06,0.3,4.1579665152838e-06,5.985010147094727
0.22916666600000002,0.028942707086517427,-9.825197392982293e-08,-1.7341610560757214e-06,0.3,3.6050772176758174e-06,5.985010147094727
0.25,0.03519216123813266,-1.0839891235402123e-07,-1.4590386129913303e-06,0.3,3.0692700789897987e-06,5.985010147094727
0.291666666,0.047690930266104055,-1.2368121931187317e-07,-9.4062759785928e-07,0.3,2.054794769165573e-06,5.985010147094727
0.375,0.0726885996532479,-1.3595909299692471e-07,-1.827836304042582e-08,0.3,2.303398413095602e-07,5.985010147094727
0.395833333,0.07893804421252289,-1.3556158276580537e-07,1.8920963654724243e-07,0.3,-1.843434074660703e-07,5.925439834594727
0.395833333,0.07893804421252289,-1.3556158276580537e-07,1.8920963654724243e-07,0.3,-1.843434074660703e-07,5.925439834594727
0.395833333,0.07893804421252289,-1.3556158276580537e-07,1.8920963654724243e-07,0.3,-1.843434074660703e-07,5.925439834594727
0.395833333,0.07893804421252289,-1.3556158276580537e-07,1.8920963654724243e-07,0.3,-1.843434074660703e-07,5.925439834594727
0.395833333,0.07893804421252289,-1.3556158276580537e-07,1.8920963654724243e-07,0.3,-1.843434074660703e-07,5.925439834594727
0.395833333,0.07893804421252289,-1.3556158276580537e-07,1.8920963654724243e-07,0.3,-1.843434074660703e-07,5.925439834594727
0.416666666,0.08518742336646394,-1.3389551784953873e-07,3.8566562699804045e-07,0.3,-5.787533087434996e-07,5.925439834594727
0.458333333,0.09768626784715026,-1.2701779866506067e-07,7.499129214058157e-07,0.3,-1.3153405508687653e-06,5.925439834594727
0.520833333,0.11643448442036597,-1.0875046122420896e-07,1.2234726503627407e-06,0.3,-2.286366293704572e-06,5.925439834594727
0.583333333,0.13518269938224584,-8.234354025868963e-08,1.615300098510262e-06,0.3,-3.1065119953766804e-06,5.925439834594727
0.604166666,0.1414321533502164,-7.199024309363853e-08,1.729444128696033e-06,0.3,-3.349470736360402e-06,5.864386081695557
0.604166666,0.1414321533502164,-7.199024309363853e-08,1.729444128696033e-06,0.3,-3.349470736360402e-06,5.864386081695557
0.604166666,0.1414321533502164,-7.199024309363853e-08,1.729444128696033e-06,0.3,-3.349470736360402e-06,5.864386081695557
0.604166666,0.1414321533502164,-7.199024309363853e-08,1.729444128696033e-06,0.3,-3.349470736360402e-06,5.864386081695557
0.604166666,0.1414321533502164,-7.199024309363853e-08,1.729444128696033e-06,0.3,-3.349470736360402e-06,5.864386081695557
0.604166666,0.1414321533502164,-7.199024309363853e-08,1.729444128696033e-06,0.3,-3.349470736360402e-06,5.864386081695557
0.625,0.14768156156276385,-6.094822722299359e-08,1.8345324265352188e-06,0.3,-3.5754721857467363e-06,5.864386081695557
0.666666666,0.16018037032709798,-3.699937991883402e-08,2.022390554856618e-06,0.3,-3.986064709739264e-06,5.864386081695557
0.729166666,0.17892858549435903,2.902444997815604e-09,2.251216046381196e-06,0.3,-4.503290699929866e-06,5.864386081695557
0.791666666,0.19767682940432846,4.658527731205771e-08,2.423300940271099e-06,0.3,-4.914557336573747e-06,5.864386081695557
0.8125,0.203926256297626,6.18104914015051e-08,2.4697331181726803e-06,0.3,-5.031243730057601e-06,5.804343223571777
0.8125,0.203926256297626,6.18104914015051e-08,2.4697331181726803e-06,0.3,-5.031243730057601e-06,5.804343223571777
0.8125,0.203926256297626,6.18104914015051e-08,2.4697331181726803e-06,0.3,-5.031243730057601e-06,5.804343223571777
0.8125,0.203926256297626,6.18104914015051e-08,2.4697331181726803e-06,0.3,-5.031243730057601e-06,5.804343223571777
0.8125,0.203926256297626,6.18104914015051e-08,2.4697331181726803e-06,0.3,-5.031243730057601e-06,5.804343223571777
0.8125,0.203926256297626,6.18104914015051e-08,2.4697331181726803e-06,0.3,-5.031243730057601e-06,5.804343223571777
0.833333333,0.210175700907313,7.730945555258652e-08,2.5104052618269316e-06,0.3,-5.137065377266082e-06,5.804343223571777
