phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,nonfoot_floor_contacts
stand,0.04000000000000003,0.04000000000000003,0.02280987190687263,0.0006068101236218508,-0.006991026041203081,0.00043671038311760083,0.03693897979639707,0.963244301934998,1.0,0.00798169772879783,0,0,0,0
stand,0.08000000000000006,0.08000000000000006,0.03062113129293985,0.0010170742686023257,-0.02926156889541476,-0.0055020951626949186,0.04916890055479914,0.6563534522721426,1.0,0.008874732460637299,0,0,0,0
stand,0.12000000000000009,0.12000000000000009,-0.0082729287138748,0.007440342070620972,-0.04851217094731419,-0.013733972468911141,0.017052533006949182,1.1904420931043962,1.0,0.008770252611926104,0,0,0,0
stand,0.16000000000000011,0.16000000000000011,-0.042646636998673194,0.008144928269319738,-0.044106140029238856,-0.012651763471734209,0.07298347381075146,0.6275878966274757,1.0,0.009101149176326177,0,0,0,0
stand,0.20000000000000015,0.20000000000000015,-0.06364144425199118,-0.0023972040381166977,-0.0398107640516867,-0.005541658479205578,0.10772597310430365,0.5212834456022886,1.0,0.009724624328090981,0,0,0,0
stand,0.24000000000000019,0.24000000000000019,-0.07966740540359353,-0.004899913574071971,-0.03801132527058341,0.0031648337645527927,0.13423483001918832,0.4256311183326232,1.0,0.009791410435065201,0,0,0,0
stand,0.2800000000000002,0.2800000000000002,-0.08920542104601384,0.0026479758641874255,-0.039041702485199996,0.007942826514455974,0.14885265013780008,0.09404054028868439,1.0,0.009714597460391125,0,0,0,0
stand,0.32000000000000023,0.32000000000000023,-0.08855715932177231,0.0024281041260680505,-0.03783892147250127,0.010134320796589035,0.14450754935582405,0.08793921813912829,1.0,0.009572262185703749,0,0,0,0
stand,0.36000000000000026,0.36000000000000026,-0.0916505305547295,0.0011052431583695413,-0.036619591478203206,0.0104133362149861,0.14615820829197618,0.2550602792259306,1.0,0.009555946097797962,0,0,0,0
stand,0.4000000000000003,0.4000000000000003,-0.09706822966362821,-0.01164312968632886,-0.03884511096712494,0.007268315620822309,0.15274863711816838,0.3375943062975608,1.0,0.009418634163074759,0,0,0,0
stand,0.44000000000000034,0.44000000000000034,-0.09812271174367006,-0.014059383052812516,-0.03815782112804707,0.012442495788011758,0.15143342068444296,0.11131725042071586,1.0,0.009531963526267917,0,0,0,0
stand,0.48000000000000037,0.48000000000000037,-0.09812548740721012,-0.011377199230452535,-0.03788011093048826,0.020130959967340472,0.14779133737194952,0.2207943934514849,1.0,0.009596833885746128,0,0,0,0
stand,0.5199999999999981,0.5199999999999981,-0.10780661706650345,-0.004561744312135653,-0.040065979390095624,0.023183700960127496,0.15972883186776485,0.46647392735409604,1.0,0.009542289279852208,0,0,0,0
stand,0.5599999999999937,0.5599999999999937,-0.10844615210724547,-0.010087477608687966,-0.03880274168280875,0.022523788326819685,0.15470145854324194,0.3417349354114699,1.0,0.00966015315093085,0,0,0,0
stand,0.5999999999999893,0.5999999999999893,-0.10703122127346563,-0.015591006722930898,-0.038667429633208114,0.022373821237471312,0.14639553519164422,0.31964495700170337,1.0,0.009662587332663392,0,0,0,0
stand,0.6399999999999849,0.6399999999999849,-0.10055445324840748,-0.02047432679783343,-0.04091716484761097,0.02359711483671051,0.13255054662682217,0.36947046040306103,1.0,0.009365729691432486,0,0,0,0
