t,tilt,effort_max,joint_speed_max
0.004,0.0,0.0,2.2026824808563106e-16
0.008,0.0,1.0021494745160453e-15,2.937650123158164e-16
0.012,0.0,1.2067034462337217e-15,5.941913627793838e-16
0.016,0.0,2.4244866966895364e-15,1.1342038419570598e-15
0.02,0.0,4.6026271924756184e-15,2.154942890797429e-15
0.024,0.0,8.711390821754545e-15,0.09374452085951328
0.028,1.2020167404189313e-06,0.20500198476634487,0.14151465858887255
0.032,1.276465162446708e-06,0.33209089118082424,0.158395217011604
0.036000000000000004,1.4523090931971896e-06,0.40313161033827594,0.15761293159742876
0.04,4.0341712003083505e-06,0.4395908439186103,0.14775006872019839
0.044000000000000004,6.378863213555757e-06,0.4559878965868083,0.13397532177975435
0.048,7.487414624723541e-06,0.46144296512469574,0.11927247017079853
0.052000000000000005,6.760382747898116e-06,0.4615420938563215,0.10525380097824873
0.056,4.3350343820152716e-06,0.4595899744329801,0.09269201464456253
0.060000000000000005,5.327972646017224e-06,0.45744299092734364,0.08186325957328767
0.064,1.34161684397008e-05,0.4560573065049892,0.07275879287029052
0.068,2.5123225200529594e-05,0.4558324806781628,0.06520758499057988
0.07200000000000001,3.9888449109697045e-05,0.4568110900139842,0.05898150786530509
0.076,5.756736119084654e-05,0.45886866273335786,0.053868412979557925
0.08,7.793685382096182e-05,0.4618605108576691,0.049680017501268325
0.084,0.0001006917728266634,0.4656430411898101,0.046251863767475816
0.08800000000000001,0.0001254807895146779,0.47007942400995495,0.04344211889350507
0.09200000000000001,0.0001519403425900744,0.47504268306083175,0.04113277580839978
0.096,0.0001797082254092923,0.4804237355107633,0.03922136182512733
0.1,0.0002084048813417377,0.4861191998403591,0.03761832622982827
0.10400000000000001,0.0002376694781671311,0.49202920799004685,0.036251870557150186
0.10800000000000001,0.00026720612090413434,0.49807106493872916,0.03506090665066056
0.112,0.0002968227975520894,0.5041683325466534,0.033993118908234025
0.116,0.00032643891463830283,0.5102489875877724,0.03300674746860168
0.12000000000000001,0.00035604556539488286,0.5162514417316209,0.0320706933722103
0.12400000000000001,0.0003856544293946328,0.5221273299930793,0.03116316302308269
0.128,0.00041529069645356736,0.5278411237549087,0.030269928963109705
0.132,0.00044498719245882995,0.5333685755823965,0.029382591464839965
0.136,0.00047477968817315994,0.5386947449543315,0.028497028680121717
0.14,0.0005047032791276001,0.543812016191225,0.027612107459700084
0.14400000000000002,0.0005347896866449026,0.5487183121006755,0.026728663029586548
0.14800000000000002,0.0005650653380965797,0.55341558432019,0.02584872362701517
0.152,0.000595550086841242,0.5579085930675107,0.024974942946260164
0.156,0.0006262564521121817,0.5622039542107934,0.02411020052572258
0.16,0.0006571892771592643,0.56630941663327,0.023257332901385562
0.164,0.0006883457153769445,0.5702333291234251,0.022418963413990755
0.168,0.0007197154723942261,0.5739842581158051,0.021597404271253888
0.17200000000000001,0.0007512812395838925,0.5775707223528038,0.0207946099314028
0.17600000000000002,0.0007830192671852836,0.5810010161193998,0.020012165678527004
0.18000000000000002,0.0008149000351108241,0.5842830981590649,0.01925129926871722
0.18400000000000002,0.0008468889809058231,0.5874245282545884,0.0185129067517319
0.188,0.0008789472605884907,0.5904324375884626,0.0177975860974311
0.192,0.000911032512280995,0.5933135223728613,0.01710567418871532
0.196,0.0009430996084533847,0.5960740529288394,0.016437284192248287
0.2,0.0009751013777370345,0.598719892493834,0.01579234138538097
0.20400000000000001,0.0010069892864966994,0.6012565216492316,0.015170616287721646
0.20800000000000002,0.0010387140721953405,0.6036890654800778,0.014571754489959829
0.21200000000000002,0.001070226320240154,0.6060223214910168,0.013995302946466703
0.21600000000000003,0.0011014769843721984,0.6082607869734802,0.013440732747251162
0.22,0.0011324178455737576,0.6104086850072487,0.01290745854195961
0.224,0.0011630019112623025,0.6124699886265491,0.012394854881342714
0.228,0.0011931837556432465,0.6144484429250613,0.011902269787799706
0.232,0.0012229198027166616,0.6163475850390172,0.011429035882263426
0.23600000000000002,0.0012521685552107527,0.6181707620567527,0.010974479389631928
0.24000000000000002,0.0012808907737615982,0.6199211469707594,0.010537927326923437
0.24400000000000002,0.0013090496083833021,0.6216017528264317,0.010118713153155606
0.24800000000000003,0.001336610688459969,0.6232154452398716,0.009716181131019535
0.252,0.0013635421741437484,0.6247649534610251,0.009329689620764999
0.256,0.001389814774280138,0.626252880153806,0.00895861349759042
0.26,0.0014154017346722234,0.6276817100542476,0.008602345856511774
0.264,0.0014402788014101905,0.6290538176540718,0.00826029914373374
0.268,0.0014644241633466075,0.6303714740419788,0.007931905831535023
0.272,0.0014878183763979006,0.6316368530203269,0.007616618733533264
0.276,0.0015104442748699422,0.6328520365990018,0.0073139110408153895
0.28,0.0015322868723129765,0.6340190199557896,0.0070232761442678565
0.28400000000000003,0.001553333253927939,0.6351397159388307,0.0067442272964679416
0.28800000000000003,0.0015735724656285681,0.6362159591762762,0.006476297155970748
0.29200000000000004,0.0015929953993615526,0.6362159591762762,0.006265890123985708
0.29600000000000004,0.001611608442737851,0.6372495098481328,0.006053206849009224
0.30000000000000004,0.0016294409497944788,0.6383443773356443,0.005836093873573327
0.304,0.0016464775602696175,0.639383774314772,0.005618178128301855
0.308,0.0016627043507377664,0.6403624516184975,0.005402503052632379
0.312,0.0016781117209750708,0.6412872667641087,0.005191110013289464
0.316,0.0016926936639595942,0.64216467351795,0.0049852823874631065
0.32,0.0017064469072493988,0.6429996677239395,0.004785782715445249
0.324,0.0017193702829450155,0.6437960798351603,0.004593023217793948
0.328,0.001731464290281461,0.6445569108941839,0.004407182671892285
0.332,0.0017427307921311372,0.6452845799109803,0.004228285733810045
0.336,0.0017531728005274743,0.6459810950238155,0.0040562566129864995
0.34,0.0017627943214710607,0.646648170697997,0.0038909553186716153
0.34400000000000003,0.001771600240634245,0.6478998494121959,0.0037044132222489815
0.34800000000000003,0.0017795810206706333,0.6484263300405632,0.0035344607977690714
0.35200000000000004,0.0017867087821803551,0.6489442685556126,0.0033777982816706434
0.35600000000000004,0.0017930119347940776,0.6494504404382092,0.0032320139793979683
0.36000000000000004,0.0017985126496428943,0.649942768591863,0.0030953327029667466
0.36400000000000005,0.0018032290015016566,0.6504199871194424,0.0029664358695805897
0.36800000000000005,0.0018071764280230321,0.6508814012172394,0.0028443328496847477
0.372,0.001810368723700371,0.6513267158104797,0.0027449630976319078
0.376,0.0018128187169056975,0.6517559133528744,0.0027362441575392534
0.38,0.0018145387308922247,0.6521691667850633,0.0027274665116593425
0.384,0.001815540898485065,0.6525667776321326,0.002718603299826509
0.388,0.001815837376501134,0.6529491320698421,0.0027090673794268726
0.392,0.0018154404916198197,0.6533154645908296,0.002699911649719525
0.396,0.0018143626801291313,0.653670671541034,0.0026906424679639307
0.4,0.0018126172769825327,0.6540591379650674,0.0026812598775136144
0.404,0.0018102177772480054,0.6544723640508706,0.002671730414915733
0.40800000000000003,0.001807177942128665,0.6549016484070449,0.0026620308791668484
0.41200000000000003,0.001803511884210671,0.6549016484070449,0.002654737326647819
0.41600000000000004,0.0017992462627353534,0.6553410974618225,0.0026467703296987094
0.42000000000000004,0.0017944221234619492,0.6557927873943309,0.0026382434487509975
0.42400000000000004,0.0017890356816560114,0.656246705228776,0.0026292099986220964
0.42800000000000005,0.0017830847365808825,0.6571556892133045,0.002617023794218734
0.43200000000000005,0.0017765618032828372,0.6576030449783423,0.0026049085201510732
0.43600000000000005,0.001769453143255629,0.6576030449783423,0.002595534279644712
0.44,0.0017618051335736538,0.658050702884091,0.002585591676947171
0.444,0.0017536685200317695,0.6585039641419129,0.0025751952092271705
0.448,0.0017450528981719023,0.6589549121379632,0.0025644013559682844
0.452,0.0017359659172725295,0.6594035110313757,0.002553250419854517
0.456,0.0017264189795089223,0.6598498780355708,0.002541777964233289
0.46,0.0017164266160377335,0.6602940997390829,0.0025300163657457513
0.464,0.0017060054869388567,0.6607362344255974,0.002517995162604498
0.468,0.001695173655443355,0.6611763217597859,0.002505741359512747
0.47200000000000003,0.0016839501063364121,0.6616143898668411,0.0024932797693450743
0.47600000000000003,0.0016723544287498824,0.6620504597833653,0.002480633354792113
0.48000000000000004,0.0016604066045238178,0.6624845481646777,0.0024678235409274205
0.48400000000000004,0.0016481268638146545,0.6629166689304077,0.0024548704846521054
0.48800000000000004,0.001635535583315785,0.6633468342734096,0.0024417932973883148
0.49200000000000005,0.0016226532123906523,0.6637750552840674,0.0024286102226939365
0.49600000000000005,0.0016095002170019995,0.6642013423391208,0.002415338773427261
0.5,0.0015960970354273716,0.6646257053445142,0.002401995833988947
0.504,0.001582464042268825,0.6650481538869236,0.0023885977333030907
0.508,0.001568621517598648,0.6654686973278876,0.0023751602939283746
0.512,0.001554589620486508,0.665887344861819,0.0023616988620311715
0.516,0.0015403883649867545,0.6663041055513698,0.0023482283222699147
0.52,0.0015260375990281756,0.666718988348691,0.002334819773015806
0.524,0.0015115569846509257,0.6671320021080208,0.002322026972252704
0.528,0.0014969659796430824,0.6675431555930383,0.002309262044395722
0.532,0.0014822838204259843,0.6679524574811604,0.002296534651126937
0.536,0.001467529506419295,0.668359916366135,0.002283854036575535
0.54,0.0014527217844680256,0.6687655407597634,0.002271229023389336
0.544,0.0014378791346659019,0.6691693390932668,0.0022586680077762225
0.548,0.0014230197566904113,0.6695713197185827,0.0022461789540483405
0.552,0.0014081615564094853,0.6699714909097543,0.00223376938926268
0.556,0.0013933221333840787,0.6707664377059416,0.0022189096586481367
0.56,0.001378518086350419,0.6707664377059416,0.002207243017253299
0.5640000000000001,0.001363768730043779,0.6711560515104067,0.002195535590570241
0.5680000000000001,0.0013490956883448024,0.6719421963779139,0.0021813521121315125
0.5720000000000001,0.00133451494571085,0.6723271267950194,0.0021677899434578763
0.5760000000000001,0.001320044311353798,0.6723271267950194,0.002157167095089129
0.5800000000000001,0.0013057039821671773,0.6727112854747342,0.0021463923239641546
0.5840000000000001,0.001291506499674564,0.6734850881695736,0.002133125385160985
0.5880000000000001,0.0012774649048349078,0.6738636114741473,0.002120410762388914
0.5920000000000001,0.001263596566518721,0.6738636114741473,0.002110515687281466
0.5960000000000001,0.0012499163572841686,0.6742412239588911,0.002100440077196129
0.6000000000000001,0.001236431319035809,0.6750015357922867,0.0020879088944844937
0.6040000000000001,0.0012231544164645397,0.6753734029743012,0.0020759055002646477
0.608,0.0012101043254845972,0.6757443401689713,0.0020643295199268353
0.612,0.0011972946689293943,0.6761141125845636,0.0020531105068400182
0.616,0.001184737646865557,0.6761141125845636,0.0020444758601475934
0.62,0.001172440941174741,0.6764825631689293,0.00203557067185677
0.624,0.0011604042477970525,0.6768543281400072,0.002026491585301851
0.628,0.0011486365244462757,0.6772235998532431,0.002017319968554859
0.632,0.001137146515575005,0.677590581658727,0.0020081120251856594
0.636,0.0011259429486722018,0.6783184621402716,0.0019966723386861613
0.64,0.0011150388257060771,0.6786749560693316,0.001985823357991994
0.644,0.0011044548118536407,0.6790307405048781,0.001975435964987859
0.648,0.0010941971455003467,0.6793855290284588,0.001965420604665779
0.652,0.0010842717285650864,0.6797391298425246,0.001955714008188459
0.656,0.0010746841236695468,0.6800914154200104,0.0019462705155351848
0.66,0.0010654395390866961,0.680442301795827,0.0019370563781104173
0.664,0.0010565428075548192,0.6807917344805468,0.0019280459972128507
0.668,0.0010479983673534117,0.6811396789024153,0.0019192194240092448
0.672,0.0010398102453353733,0.6814861139348835,0.0019105606847329747
0.676,0.0010319820435057622,0.681831027520462,0.0019020566484118367
0.68,0.0010245169287502406,0.681831027520462,0.001895809852761777
0.684,0.0010174118520476913,0.6825206436868242,0.0018870353151329193
0.6880000000000001,0.0010106607919055208,0.6828600147867989,0.0018785436875683559
0.6920000000000001,0.0010042856981132922,0.6831981692557747,0.001870277577006628
0.6960000000000001,0.000998285964882141,0.6831981692557747,0.0018642864739264954
0.7000000000000001,0.000992655169078889,0.6838747590045436,0.0018558102319851117
0.7040000000000001,0.00098738470181773,0.6842078721539182,0.0018476315252544918
0.7080000000000001,0.000982495208786145,0.6842078721539182,0.0018417577883280015
0.7120000000000001,0.000977977450784619,0.6845398470394234,0.0018356646376175986
0.7160000000000001,0.0009738141074922648,0.6848747853710332,0.0018296709406505174
0.7200000000000001,0.0009700090957593486,0.6855381984025365,0.001821406332417411
0.7240000000000001,0.000966572774195659,0.6858628424030315,0.0018136003547824242
0.7280000000000001,0.0009635217240930355,0.6858628424030315,0.0018081841250208032
0.7320000000000001,0.0009608409336289518,0.6861867024084122,0.0018024802397647115
0.7360000000000001,0.0009585091380738449,0.68651366541414,0.001796542447335658
0.74,0.0009565271157524781,0.6868386188203005,0.0017904453263710264
0.744,0.000954896164540323,0.6874830145242639,0.001782146036838313
0.748,0.0009536221713208564,0.6877986347861584,0.0017743605941347644
0.752,0.0009527169147175334,0.6881135950635721,0.0017669344526193033
0.756,0.0009521672525117674,0.6884276496080958,0.0017597632841416418
0.76,0.0009519625003748005,0.6887406348359184,0.0017527759090261636
0.764,0.0009520935650106573,0.6890524425524698,0.0017459231275730605
0.768,0.0009525523546453873,0.6893630018837242,0.001739170403501105
0.772,0.0009533313811233371,0.6896722670939941,0.001732493062858667
0.776,0.0009544234904134104,0.6896722670939941,0.0017279402746165507
0.78,0.0009558161673904827,0.6899802093777001,0.0017228794738719014
