phase,sim_time,phase_time,x,y,z,yaw,tilt,speed,effort_fraction,joint_limit_excess,policy_vx,policy_vy,policy_wz,nonfoot_floor_contacts
stand,0.9999999999999453,0.9999999999999453,-0.01185752115110249,0.003945104300348931,-0.043038575269122976,0.04461040083525659,0.004000847375543712,0.003858125701117947,0.55673170539621,0.00014823837122302273,0,0,0,0
stand,1.039999999999941,1.039999999999941,-0.01171217029778936,0.0039074274910201635,-0.04303260233420116,0.04515911589776733,0.0035179503301421442,0.003734804696785072,0.5527938409247983,0.00015466661987541478,0,0,0,0
stand,1.0799999999999366,1.0799999999999366,-0.011575642461124414,0.003880228949261296,-0.04302817633417741,0.045671271061492096,0.0031165329133396335,0.003269061780938728,0.5506348512584711,0.00016172221575164723,0,0,0,0
stand,1.1199999999999322,1.1199999999999322,-0.011461906767558872,0.0038642538510554,-0.043025360401357036,0.04616204442014342,0.002827447665330753,0.0025312385965325247,0.5494956118943458,0.00016699953433344525,0,0,0,0
stand,1.1599999999999278,1.1599999999999278,-0.011374989058671878,0.003860385686275241,-0.04302397969317477,0.046635295932260575,0.0026344878133051494,0.0018549597957040983,0.5487431500758909,0.00017043300487041212,0,0,0,0
stand,1.1999999999999234,1.1999999999999234,-0.011316298075070076,0.0038657164491530233,-0.043023782268541984,0.04709100264081566,0.0025131888588836573,0.0010394976886105268,0.5480856065289924,0.00017231189792309265,0,0,0,0
stand,1.239999999999919,1.239999999999919,-0.011290410015541218,0.003876036224520774,-0.043024527945591653,0.04753101031896112,0.00244741124018275,0.00042977806922539963,0.5475485513969333,0.00017282504764995585,0,0,0,0
stand,1.2799999999999145,1.2799999999999145,-0.011282186147256405,0.0038891593992364444,-0.04302569488332204,0.0479549707195473,0.0024101814270826236,0.00036691654804715037,0.5471183873030183,0.00017285542925098087,0,0,0,0
stand,1.3199999999999101,1.3199999999999101,-0.011277724028136168,0.0039037296409487653,-0.04302693343401629,0.048362875784273195,0.002380450976677465,0.00039628065861598336,0.5467240234728216,0.00017276450934879204,0,0,0,0
stand,1.3599999999999057,1.3599999999999057,-0.011270997426112766,0.0039185225569213404,-0.043028109420538745,0.04875567322839892,0.0023480067542438923,0.0004311129753129196,0.5463063569860676,0.0001724160604046022,0,0,0,0
stand,1.3999999999999013,1.3999999999999013,-0.011260643861039043,0.003932617126250747,-0.04302921126354032,0.04913465605630023,0.002310205395463525,0.00046470050632366265,0.5457851053412718,0.00017207621169060272,0,0,0,0
stand,1.439999999999897,1.439999999999897,-0.011247373528380995,0.003945502893311817,-0.04303027922597817,0.04950120517950257,0.0022683873433741626,0.0004841214352423732,0.5451611078699635,0.00017207211341986012,0,0,0,0
stand,1.4799999999998925,1.4799999999998925,-0.011232568528749697,0.003957493993742614,-0.04303137049179968,0.04985838173474817,0.0022247977197718616,0.00048529260948398126,0.544484439264647,0.00017243389691418436,0,0,0,0
stand,1.519999999999888,1.519999999999888,-0.011217650198323168,0.003968586572767918,-0.04303252893779847,0.050207534261581255,0.002182255378843289,0.00046029603581955784,0.5437938113946452,0.0001728564480152154,0,0,0,0
stand,1.5599999999998837,1.5599999999998837,-0.01120338780913372,0.003978779258974872,-0.043033764586029775,0.050548859122419625,0.002142380936174335,0.000428997758273756,0.5431328655385201,0.00017326377697270191,0,0,0,0
